team,language,version,chrf,cider
IUHoosiers,guarani,v4,24.66680918448912,0.1489314389983063
IUHoosiers,guarani,v5,24.421706637304823,0.1668201619809437
IUHoosiers,guarani,v8,24.412190019581768,0.135113441601347
IUHoosiers,guarani,v1,24.412190019581768,0.135113441601347
IUHoosiers,guarani,v2,24.406481596103117,0.1427543422577397
IUHoosiers,guarani,v0,24.388587983619384,0.1238435290811168
IUHoosiers,guarani,v3,24.162777058086885,0.1284251031824239
IUHoosiers,guarani,v6,24.043903403459694,0.1122035937545779
gators_v1,guarani,v0,23.103571948186502,0.1242600906917926
IUHoosiers,guarani,v7,22.43021269824261,0.0737573920719335
gators_v1,guarani,v1,21.62846496239348,0.1270681234041167
baseline,guarani,v0,20.13900371452759,0.0049663545884349
Mila,guarani,v1,19.77201198531835,0.0309754634760047
usp,guarani,v0,19.730877752030334,0.0235541873092262
Mila,guarani,v0,19.63444702260792,0.0313547609783951
usp,guarani,v0_nondedup,19.450238928965195,0.0214952665839446
Mila,guarani,v2,19.417478636726567,0.0519758060704754
NAIST,guarani,v0,19.406234095004184,0.0457530898292026
yaduha,guarani,v0,16.903875754969125,0.0378793262938422
InclusionVLM,guarani,v0,16.48101154377225,0.0465149886114225
Mila,guarani,v3,12.804110353502276,0.0510244066435789
NAIST,guarani,v1,9.714632309955327,0.0349694206960755
NAIST,guarani,v2,8.332826526787715,0.0270172712078348
InclusionVLM,guarani,v1,7.613777998130352,0.0055280889316195
